Model,Weight_Bytes,Input_Bytes,Static_Total,Static_Fits_4MiB,Peak_Bytes,Peak_Fits_4MiB,Fail_Layers,Total_Layers,Verdict
v10n,2292576,1228800,3521376,YES,5158576,NO (4.92 MB),3,83,COND
v10s,7240032,1228800,8468832,NO,12148032,NO (11.59 MB),87,87,FAIL
