Model,Tiling,Index,Name,Type,Kernel,Stride,InputShape,OutputShape,Weight_B,Remaining_for_tiles,InTile_HW,InTile_B,OutTile_HW,OutTile_B,TileIO_B,Meta_B,TotalUB,Budget,WeightFitsUB,FailReason,Verdict
YOLOv10s,Adaptive_Full,40,model.13.cv1.conv,1x1,1x1,1,40x40x768,40x40x256,196608,65024,7x7,37632,7x7,12544,50176,512,247296,262144,True,,PASS
YOLOv10s,Adaptive_Full,41,model.13.m.0.cv1.conv,Conv,3x3,1,40x40x128,40x40x128,147456,114176,22x22,61952,20x20,51200,113152,512,261120,262144,True,,PASS
YOLOv10s,Adaptive_Full,42,model.13.m.0.cv2.conv,Conv,3x3,1,40x40x128,40x40x128,147456,114176,22x22,61952,20x20,51200,113152,512,261120,262144,True,,PASS
YOLOv10s,Adaptive_Full,43,model.13.cv2.conv,1x1,1x1,1,40x40x384,40x40x256,98304,163328,15x15,86400,15x15,57600,144000,512,242816,262144,True,,PASS
YOLOv10s,Adaptive_Full,44,model.16.cv1.conv,1x1,1x1,1,80x80x384,80x80x128,49152,212480,20x20,153600,20x20,51200,204800,512,254464,262144,True,,PASS
YOLOv10s,Adaptive_Full,45,model.16.m.0.cv1.conv,Conv,3x3,1,80x80x64,80x80x64,36864,224768,42x42,112896,40x40,102400,215296,512,252672,262144,True,,PASS
YOLOv10s,Adaptive_Full,46,model.16.m.0.cv2.conv,Conv,3x3,1,80x80x64,80x80x64,36864,224768,42x42,112896,40x40,102400,215296,512,252672,262144,True,,PASS
YOLOv10s,Adaptive_Full,47,model.16.cv2.conv,1x1,1x1,1,80x80x192,80x80x128,24576,237056,27x27,139968,27x27,93312,233280,512,258368,262144,True,,PASS
YOLOv10s,Adaptive_Full,48,model.17.conv,Conv,3x3,2,80x80x128,40x40x128,147456,114176,25x25,80000,12x12,18432,98432,512,246400,262144,True,,PASS
YOLOv10s,Adaptive_Full,49,model.19.cv1.conv,1x1,1x1,1,40x40x384,40x40x256,98304,163328,15x15,86400,15x15,57600,144000,512,242816,262144,True,,PASS
YOLOv10s,Adaptive_Full,50,model.19.m.0.cv1.conv,Conv,3x3,1,40x40x128,40x40x128,147456,114176,22x22,61952,20x20,51200,113152,512,261120,262144,True,,PASS
YOLOv10s,Adaptive_Full,51,model.19.m.0.cv2.conv,Conv,3x3,1,40x40x128,40x40x128,147456,114176,22x22,61952,20x20,51200,113152,512,261120,262144,True,,PASS
YOLOv10s,Adaptive_Full,52,model.19.cv2.conv,1x1,1x1,1,40x40x384,40x40x256,98304,163328,15x15,86400,15x15,57600,144000,512,242816,262144,True,,PASS
YOLOv10s,Adaptive_Full,53,model.20.cv1.conv,1x1,1x1,1,40x40x256,40x40x256,65536,196096,19x19,92416,19x19,92416,184832,512,250880,262144,True,,PASS
YOLOv10s,Adaptive_Full,54,model.20.cv2.conv,DW,3x3,2,40x40x256,20x20x256,2304,259328,27x27,186624,13x13,43264,229888,512,232704,262144,True,,PASS
YOLOv10s,Adaptive_Full,55,model.22.cv1.conv,1x1,1x1,1,20x20x768,20x20x512,393216,0,1x1,768,1x1,512,1280,512,395008,262144,False,weight_exceeds_ub,FAIL
YOLOv10s,Adaptive_Full,56,model.22.m.0.cv1.0.conv,DW,3x3,1,20x20x256,20x20x256,2304,259328,22x22,123904,20x20,102400,226304,512,229120,262144,True,,PASS
YOLOv10s,Adaptive_Full,57,model.22.m.0.cv1.1.conv,1x1,1x1,1,20x20x256,20x20x512,131072,130560,13x13,43264,13x13,86528,129792,512,261376,262144,True,,PASS
YOLOv10s,Adaptive_Full,58,model.22.m.0.cv1.2.conv.conv,DW,7x7,1,20x20x512,20x20x512,25088,236544,17x17,147968,11x11,61952,209920,512,235520,262144,True,,PASS
YOLOv10s,Adaptive_Full,59,model.22.m.0.cv1.2.conv1.conv,DW,3x3,1,20x20x512,20x20x512,4608,257024,16x16,131072,14x14,100352,231424,512,236544,262144,True,,PASS
YOLOv10s,Adaptive_Full,60,model.22.m.0.cv1.3.conv,1x1,1x1,1,20x20x512,20x20x256,131072,130560,13x13,86528,13x13,43264,129792,512,261376,262144,True,,PASS
YOLOv10s,Adaptive_Full,61,model.22.m.0.cv1.4.conv,DW,3x3,1,20x20x256,20x20x256,2304,259328,22x22,123904,20x20,102400,226304,512,229120,262144,True,,PASS
YOLOv10s,Adaptive_Full,62,model.22.cv2.conv,1x1,1x1,1,20x20x768,20x20x512,393216,0,1x1,768,1x1,512,1280,512,395008,262144,False,weight_exceeds_ub,FAIL
YOLOv10s,Adaptive_Full,63,model.23.one2one_cv2.0.0.conv,Conv,3x3,1,80x80x128,80x80x64,73728,187904,31x31,123008,29x29,53824,176832,512,251072,262144,True,,PASS
YOLOv10s,Adaptive_Full,64,model.23.one2one_cv2.0.1.conv,Conv,3x3,1,80x80x64,80x80x64,36864,224768,42x42,112896,40x40,102400,215296,512,252672,262144,True,,PASS
YOLOv10s,Adaptive_Full,65,model.23.one2one_cv2.0.2,1x1,1x1,1,80x80x64,80x80x64,4096,257536,44x44,123904,44x44,123904,247808,512,252416,262144,True,,PASS
YOLOv10s,Adaptive_Full,66,model.23.one2one_cv2.1.0.conv,Conv,3x3,1,40x40x256,40x40x64,147456,114176,19x19,92416,17x17,18496,110912,512,258880,262144,True,,PASS
YOLOv10s,Adaptive_Full,67,model.23.one2one_cv2.1.1.conv,Conv,3x3,1,40x40x64,40x40x64,36864,224768,42x42,112896,40x40,102400,215296,512,252672,262144,True,,PASS
YOLOv10s,Adaptive_Full,68,model.23.one2one_cv2.1.2,1x1,1x1,1,40x40x64,40x40x64,4096,257536,40x40,102400,40x40,102400,204800,512,209408,262144,True,,PASS
YOLOv10s,Adaptive_Full,69,model.23.one2one_cv2.2.0.conv,Conv,3x3,1,20x20x512,20x20x64,294912,0,3x3,4608,1x1,64,4672,512,300096,262144,False,weight_exceeds_ub,FAIL
YOLOv10s,Adaptive_Full,70,model.23.one2one_cv2.2.1.conv,Conv,3x3,1,20x20x64,20x20x64,36864,224768,22x22,30976,20x20,25600,56576,512,93952,262144,True,,PASS
YOLOv10s,Adaptive_Full,71,model.23.one2one_cv2.2.2,1x1,1x1,1,20x20x64,20x20x64,4096,257536,20x20,25600,20x20,25600,51200,512,55808,262144,True,,PASS
YOLOv10s,Adaptive_Full,72,model.23.one2one_cv3.0.0.0.conv,DW,3x3,1,80x80x128,80x80x128,1152,260480,32x32,131072,30x30,115200,246272,512,247936,262144,True,,PASS
